team,games,win,draw,loss,prizes,href_key
Team Fiend,66,34,0,32,40000,team-fiend
Team Ukraine,26,18,2,6,39974,team15622
Nigma Galaxy Female,21,18,0,3,39508,galaxy-racer-female
INTZ eSports,63,30,0,33,39250,intz-e-sports-csgo
Young Ninjas,74,35,0,39,39125,young-ninjas
Natus Vincere Junior,100,53,0,47,38893,natus-vincere-junior
Chiefs Esports Club,59,22,1,36,37500,chiefs-esports-club3382
The Foundation,124,39,4,81,37391,selfless-pride
x-kom Team,83,32,1,50,37336,venatores665
EPG Family,19,16,0,3,36000,ex-winstrike-1
BIG Academy,42,21,0,21,36000,big-academy
eXtatus,63,24,3,36,35000,extatus1967
Tengri,48,16,6,26,35000,tengri140
Those Damn Canadians,10,5,3,2,33250,those-damn-canadians
Sinners Esports,113,59,0,54,33000,sinners-esports
Mortal Kombat,31,19,0,12,32656,mortal-kombat
FIVE eSports Club,28,9,3,16,32500,five
SZ Absolute,49,22,1,26,32000,sz-absolute1241
Splyce,176,49,11,116,32000,splyce
VeryGames,28,23,0,5,31042,verygames-csgo
Imperial Esports,67,26,2,39,31000,imperial-e-sports
GameAgents,33,10,1,22,30000,gameagents
9z Team,39,19,0,20,30000,9z-team
ALL-IN,7,5,0,2,30000,all-incs
Escape Gaming,31,18,0,13,30000,escape-gaming
Lazarus Esports,17,8,1,8,29500,lazarus-esports
k23,12,7,2,3,29500,k231233
Team Finest,42,22,0,20,28722,team-finest
Flash Gaming,66,31,0,35,28500,flash-gaming
NASR eSports,22,5,1,16,28000,nasr-esports3211
Bravado,43,13,3,27,28000,bravado4227
Польша,28,13,1,14,27370,5178
5Power Gaming,85,36,3,46,27337,5power-club
ESPADA,105,53,0,52,26261,espada
Reason Gaming,73,34,1,38,26055,reason-gaming-cs-go
Nordavind,161,73,0,88,25000,nordavind
500,6,5,0,1,24990,ex-skade
GOSU,13,4,0,9,24625,gosu
x6tence Galaxy,95,45,8,42,24500,x6tence-galaxy
Team Heretics,97,41,0,56,24361,team-heretics-1
1win,89,48,0,41,23000,1win
Fluxo,9,4,0,5,22552,fluxo
New4,36,16,2,18,22500,new4148
