team,games,win,draw,loss,prizes,href_key
ALSEN Team,6,3,1,2,375,alsen-team-cs-go
quest,4,1,0,3,350,quest
NoobTubers,7,5,0,2,321,noobtubes3032
Playing Ducks,18,4,0,14,318,playing-ducks-cs-go
Orbit Female,3,0,0,3,304,orbit-female
Winterfox,114,28,5,81,284,winterfox-cs
BD.ECHO,5,2,0,3,284,bd-echo
Bears e-Sports,3,0,0,3,284,bears-e-sports
Furious Gaming,7,2,0,5,284,furious-gaming-1
Jaguares Esports,4,1,0,3,284,jaguares-esports-1
Keyd Stars,11,3,0,8,284,keyd-stars9566
SWS Gaming,6,2,0,4,266,sws-gaming
G2 Esports.es,0,,,,260,g2-esports-es
RedWinged,7,0,2,5,200,knr4659
Team Refuse,5,1,0,4,177,team-refuse-cs-go
NOVA eSports,3,1,0,2,64,makemistake7981
Team Lioncast,0,,,,,team-lioncast
,0,,,,,-1
00 Prospects,2,1,0,1,,00-prospects
0to100,1,0,0,1,,0to100
/10/,0,,,,,10
/10/ ,0,,,,,10-
123,0,,,,,1232523
123team,0,,,,,123team
123team,3,1,0,2,,123team503
1337HUANIA,0,,,,,1337huania
1337HUANIA,31,12,0,19,,playing-ducks-int5419
1A Steven Seagal Fan Club,0,,,,,1a-steven-seagal-fan-club
1bullet,0,,,,,1bullet2458
1PIN,1,0,0,1,,1pin
1shot,4,2,0,2,,1shot-1
1st eSports,0,,,,,1st-esports
1uke and co,0,,,,,1uke-and-co9156
20.03.2013,0,,,,,20032013
247 eSports,0,,,,,247-esports
24BHB,0,,,,,24bhb9018
2990 Esports,5,3,0,2,,2990-esports
2byl9,3,1,0,2,,2byl9
2ez Gaming,0,,,,,2ez-gaming
31337,0,,,,,31337
31337 eSPORTS,0,,,,,31337-esports
34united,0,,,,,34united7149
3CIS2EU,1,0,0,1,,3cis2eu
3 NEW 2 OLD,2,0,0,2,,3-new-2-old3443
3R2L,0,,,,,3r2l
3sUP,8,2,0,6,,3sup3148
420pm,0,,,,,420pm
42N,2,1,0,1,,42n4604
44,0,,,,,448872
4dimensioN eTROVE,0,,,,,4dimension-etrove2178
4EJIHABAELLIOT,1,0,0,1,,4ejihabaelliot
4glory Esports,10,4,0,6,,4glory-esports
4Kings,0,,,,,4kings-cs-go
4spb,0,,,,,4spb5863
4ucToHano6egky,1,0,0,1,,4uctohano6egky
4US Esports,2,1,0,1,,4us-esports
4w,0,,,,,4w
5Aces eSport,0,,,,,5aces-esport7165
5CORE.RED,0,,,,,5corered
5FRAGS.ORG,11,5,0,6,,5frags-org3425
5Peaks,0,,,,,5peaks
6e3t9n,2,0,0,2,,6e3t9n
6Sense,0,,,,,6sense8670
76WARRIORS,1,0,0,1,,76warriors4688
777 Esports,1,0,0,1,,777-esports-1
7Kings,0,,,,,7kings1562
8EASY,3,1,0,2,,8easy
99dmg.de,10,4,0,6,,99dmg-de9823
99DMG-Juniorbots,4,2,0,2,,99dmg-juniorbots8963
99problems,0,,,,,99problems
9INE,19,9,0,10,,9ine
9 Pandas,1,1,0,0,,9-pandas
a2g,0,,,,,a2g
abc1234,0,,,,,abc12349556
Above the Rest,3,0,1,2,,above-the-rest4307
Absolute,0,,,,,absolute
Absolute Legends,0,,,,,absolute-legends-cs-go
ACE Gaming,0,,,,,ace-gaming
ACES Female,0,,,,,aces-female
ACG,15,7,0,8,,acg2531
ACGaming,0,,,,,acgaming
Acme Exclamation,1,0,0,1,,acme-exclamation5525
Action Live,0,,,,,action-live2657
Adaptation,1,0,0,1,,adaptation1513
Adaptation,0,,,,,adaptation
ADD,0,,,,,add
ad hoc gaming,6,2,0,4,,ad-hoc-gaming
AdskiyRazgon,1,0,0,1,,adskiyrazgon
Aequus Club,10,5,0,5,,aequus-club
aera,0,,,,,aera4600
Aesthetic,0,,,,,aesthetic1218
Afterall Gaming,0,,,,,afterall-gaming-cs-go
After Your Ego,2,1,0,1,,after-your-ego4571
A-Gaming,7,0,0,7,,a-gaming-cs-go
AGENT,0,,,,,agent5513
Agoge e-Sports,1,0,0,1,,agogr-e-sports
AIE Gaming,0,,,,,aie-gaming
Aim4R Gaming,2,0,0,2,,aim4r-gaming
Aim.Attack,1,0,0,1,,aim-attack
aimclub,0,,,,,aimclub
aimface,0,,,,,aimface
Aim High,0,,,,,aim-high2384
Airwalk,0,,,,,airwalk9551
Airwalkers,0,,,,,airwalkers
Ajax eSports,1,0,0,1,,ajax-esports4095
ajukreizi,1,0,0,1,,ajukreizi9937
ajuri,0,,,,,ajuri
ak-47,0,,,,,ak-47
Akins,0,,,,,akins7740
AKOPALIPSA,7,1,0,6,,akopalipsa
A LA MIX,3,0,0,3,,a-la-mix9250
Alientech.black,0,,,,,alientechblack
AlienTech.br,0,,,,,alien-tech-br
alla birsa,1,0,0,1,,alla-birsa
All Gamers Young,2,0,0,2,,all-gamers-young
ALL IN,0,,,,,all-in
ALL IN,1,0,0,1,,all-in1800
All-Stars Europe,0,,,,,all-stars-europe7332
allStars Gaming,6,2,0,4,,allstars-gaming
All-Stars NA,0,,,,,all-stars-na4785
alltheRAGE.FTW,0,,,,,alltherage-ftw5226
Alpha Republic of Esport Female,4,3,0,1,,ares-female
Alter Your Ego,1,0,0,1,,alter-your-ego
Altima,3,0,0,3,,altima
aM,0,,,,,am
Amazing Gaming,0,,,,,amazing-gaming
Ambition Gamers,0,,,,,ambition-gamers
Americas All-Stars,1,1,0,0,,americas-all-stars4789
AMNESIA,0,,,,,amnesia
AMOX Gaming e.V.,0,,,,,amox-gaming-ev
AMPLITUDE,0,,,,,amplitude
Anata,0,,,,,anata
Anexis,0,,,,,anexis-cs-go
Anges Big Toe,2,0,0,2,,anges-big-toe
Anima,2,0,0,2,,anima7660
ANIMALS,0,,,,,animals-2
Animal Squad,0,,,,,animal-squad
ANIMEplusW,6,3,0,3,,animeplusw
ANIXIA eSports,0,,,,,anixia-esports
ANOX,10,3,0,7,,anox
ANT,0,,,,,ant
ANTI ECO CLUB,0,,,,,anti-eco-club
Anti Eco Eco Club,0,,,,,anti-eco-eco-club5614
Anti Lilly,0,,,,,anti-lilly1591
Anubis,4,0,0,4,,anubis6281
AON.Esports,0,,,,,aonesports
Apeks Rebels,4,3,0,1,,apeks-rebels
Apoka Academics,0,,,,,apoka-academics
APOLOGIS Esport,1,0,0,1,,apologis-esport
Aposis,1,0,0,1,,aposis9617
Aquiver eSports,0,,,,,aquiver-esports
Arcade eSports,12,2,4,6,,worst-players
ArchAngels,2,0,0,2,,archangels4213
ArchAngels,9,3,0,6,,csgo2x5827
ArchNemesis,0,,,,,archnemesis3028
Arctic eSports,5,2,0,3,,arctic-esports
Arctic Gaming,0,,,,,arctic-gaming
Ardeont,0,,,,,ardeont
Area08,3,1,0,2,,area08
Area 51 Gaming,0,,,,,area-51-gaming
Area51 Gaming,0,,,,,area51-gaming
Arena Bulls,3,1,0,2,,arena-bulls
Arena League,0,,,,,arena-league9766
Arenazero.net,3,1,0,2,,arenazero-net7252
ARES,1,0,0,1,,ares
are you a wizard?,0,,,,,are-you-a-wizard
ArkAngel Pro Team,3,1,0,2,,arkangel-pro-team
ArkAngel Pro Team.Female,3,0,0,3,,arkangel-pro-team-female
Armada Esports,0,,,,,armada-esports
Army5 Gaming,0,,,,,army5-gaming
Art of cyber game,4,1,1,2,,art-of-cyber-game3760
Art of Cybergame,0,,,,,art-of-cybergame
ARYO Gaming eSports,0,,,,,aryo-gaming-esports1270
Ascendancy,0,,,,,ascendancy
Ascendia,0,,,,,ascendia6599
Ascent Esports,0,,,,,ascent-esports
asdfasdasf,0,,,,,asdfasdasf
Asian Team,0,,,,,asian-team
Assassins in Miniskirts,0,,,,,assassins-in-miniskirts851
Asterisk,3,0,0,3,,asterisk
Astral Influence,2,0,0,2,,astral-influence
Astralis Female,6,2,0,4,,astralis-female
Asus Cyberzone,0,,,,,asus-cyberzone
ATB Gaming,1,0,0,1,,atb-gaming373
AT FINEST,0,,,,,at-finest5801
AT Gaming,0,,,,,at-gaming-cs-go
Athletico Esports,11,4,0,7,,athletico1671
Athletico Female,3,1,0,2,,athletico-female5274
ATK.gg,2,0,0,2,,atk-gg
Atlantis,0,,,,,atlantis8968
Atlants Gaming,16,6,0,10,,atlants-gaming
attackiereN,0,,,,,attackieren
AURA,7,1,0,6,,aura
Aurora Gaming,8,2,0,6,,aurora-gaming
Aurora.RaidCall,0,,,,,auroraraidcall
Authentik-Gamers,0,,,,,authentik-gamers
Available!,0,,,,,available
Avalanche GG,0,,,,,avalanche-gg
AVANGAR Q,1,0,0,1,,avangar-q
AVANGAR Staff,11,10,1,0,,avangar-staff
Avengers,0,,,,,avengers
Avenue,0,,,,,avenue1644
average25iqbutheadshots,1,0,0,1,,average25iqbutheadshots
Aviato,0,,,,,aviato
A Walk To Remember,2,1,0,1,,a-walk-to-remember2873
AWESOME,0,,,,,awesome-cs-go
AWTR,0,,,,,awtr4143
AXES,0,,,,,axes916
AZIO Esports,6,4,1,1,,azio-esports
azizz,0,,,,,azizz
B4 Esports,2,1,0,1,,b4-esports
Babos,0,,,,,babos
Baclerbi,2,1,0,1,,baclerbi
Baden-Wurttemberg ,0,,,,,baden-wurttemberg-
Badger,0,,,,,badger3954
Badger eSports,0,,,,,badger-esports4660
Bad Karma,0,,,,,bad-karma
Bad Monkey Gaming,6,1,0,5,,bad-monkey-gaming
baghlan,1,0,0,1,,baghlan1178
Balderisnor,1,0,0,1,,balderisnor
Ballmix,0,,,,,ballmix
Bananaboat,0,,,,,bananaboat
Bango-I-Karise,0,,,,,bango-i-karise261
bankaPEPSI,16,5,0,11,,bankapepsi
Banned-Brigade,0,,,,,banned-brigade
barbiesize,0,,,,,barbiesize6959
Barely Positive,0,,,,,barely-positive
BATTLEHALL,0,,,,,battlehall6712
BBSP,1,0,0,1,,bbsp
Beacon eSports,2,0,0,2,,beacon-esports4454
BEBRA,5,1,1,3,,bebra
Bee's Money Crew,0,,,,,bee-s-money-crew5540
Bee's Money Crew,0,,,,,bees-money-crew
beGenius,7,3,0,4,,begenius
belali,0,,,,,belali
benched,3,0,0,3,,benched-1
BenchedHeroes,4,2,0,2,,benchedheroes
Ben's Anime Team,2,1,0,1,,bens-anime-team
Berzerk,6,2,0,4,,berzerk9928
Best Boniatos Ever,2,0,0,2,,best-boniatos-ever
Beyond.Maple Club,0,,,,,beyondmaple-club
beznadejdi,2,0,0,2,,beznadejdi
BEZ ZP,9,4,0,5,,bez-zp-1
BGDonLINE,0,,,,,bgdonline
BHOP Esports,3,1,0,2,,bhop-esports
Big Frames,4,3,0,1,,big-frames
Big Gods,0,,,,,big-gods
BigTime Regal,4,1,0,3,,bigtime-regal
Big Time Regal Gaming,7,3,0,4,,big-time-regal-gaming
BigTime Regal.IMBA,10,4,0,6,,bigtime-regal-imba
Binary Dragons Female,5,3,0,2,,binary-dragons-female198
Binary Dragons Gold,3,1,0,2,,binary-dragons-gold
Bitchbouncer,0,,,,,bitchbouncer6269
bitcoins,0,,,,,bitcoins
bivaetitak,1,0,0,1,,bivaetitak1090
Bizarre Gaming,2,0,0,2,,bizarre-gaming
Black Dragons e-Sports,2,1,0,1,,black-dragons-e-sports
BlackDragons e-Sports,0,,,,,blackdragons-e-sports
Black Dragons Female,3,1,0,2,,black-dragons-female
Black Ravens,0,,,,,black-ravens
Blank,2,0,0,2,,blank
BLAST,0,,,,,blast
Blight Gaming,0,,,,,blight-gaming
Blight Gaming,5,0,0,5,,blight-gaming6347
BLINKD,2,0,0,2,,blinkd
BlinkDagger,2,1,0,1,,blinkdagger
BLUEJAYS,31,15,1,15,,bluejays
BLUEJAYS International,9,2,0,7,,bluejays-international
bluuuuud,0,,,,,bluuuuud
BMTH,2,0,0,2,,bmth
BOF Gaming,0,,,,,bof-gaming5583
Bojestvata,7,3,0,4,,bojestvata
BOOM ID,1,0,0,1,,boom-id
B.O.O.T.cn,9,3,0,6,,boot398
Bootkamp Gaming,3,2,0,1,,bootkamp-gaming
BOOYAKA,3,1,0,2,,booyaka4328
Born in Mongolia,0,,,,,born-in-mongolia
Born Of Fire,17,6,1,10,,born-of-fire4265
Born on Fire,0,,,,,born-on-fire
BOSSHAFT,0,,,,,bosshaft
BOT,2,0,0,2,,bot2728
BOTIDA DE COCO,2,1,0,1,,botida-de-coco73
Botka Boyz,3,2,0,1,,botka-boyz2414
Bouchon,1,0,0,1,,bouchon1454
boxr,5,2,0,3,,boxr
Boys in Blue,16,2,0,14,,boys-in-blue
Brasil Gaming House,2,1,0,1,,brasil-gaming-house
Bratja Stereo,0,,,,,bratja-stereo5745
Brazen,1,0,0,1,,brazen
BRB20,0,,,,,brb20
brbdmalite,1,0,0,1,,brbdmalite
Breakaway,6,3,0,3,,breakaway
Breakaway Esports,0,,,,,breakaway-esports
Bremen,0,,,,,bremen
Brewtopia eSports,0,,,,,brewtopia-esports
Bring Me The Horizon,1,0,0,1,,bring-me-the-horizon
Broken Alliance,2,0,0,2,,broken-alliance2637
Brussels Guardians,0,,,,,brussels-guardians-cs-go
BRZINA,1,0,0,1,,brzina
b.s3x,0,,,,,bs3x
BSE,0,,,,,bse6637
BST,0,,,,,bst5781
BTR,2,0,0,2,,btr
buaksib,4,1,0,3,,buaksib
Budapest Corvini,0,,,,,budapest-corvini
BuggIT,2,1,0,1,,buggit4564
Bulldozer,0,,,,,bulldozer192
BUND,2,0,0,2,,bund
Bunkergg,0,,,,,bunkergg7781
Bushido boyz,3,0,0,3,,bushido-boyz
Butchers,0,,,,,butchers2728
bUukLubBeN,0,,,,,buuklubben
BuyKey,0,,,,,buykey-cs-go
BX3 eSports Club,1,0,0,1,,bx3-esports-club
BZSX,1,0,0,1,,bzsx8218
C4 Gaming,3,1,0,2,,c4-gaming
CADIEM eSports Club,0,,,,,cadiem-esports-club
Camel Riders,7,5,0,2,,camel-riders
Candy Camel,0,,,,,candy-camel3305
CARAMBA,0,,,,,caramba
Carnage Esports Female,7,1,1,5,,carnage-esports-female
Carpe Diem,3,1,0,2,,carpe-diem
Casaless,0,,,,,casaless
Cascade Esports,0,,,,,cascade-esports-2
catman,2,0,0,2,,catman
cats,3,1,0,2,,cats
CAZ eSports,0,,,,,caz-esports
CAZ eSports,6,0,0,6,,caz-esports5655
CAZ eSports,0,,,,,caz-esports3580
CDAY-gaming,0,,,,,cday-gaming5296
CeX,5,2,0,3,,cex3784
CeX,0,,,,,cex
CHAOS,0,,,,,chaos-cs
CHATSH8GETBANGD,0,,,,,chatsh8getbangd
Check6,0,,,,,check68465
Check-Point,1,0,0,1,,check-point2583
CHECKSIX,0,,,,,checksix5233
Chetz Esports,1,0,0,1,,chetz-esports
Chiefs ESC,0,,,,,chiefs-esc
Chill Guys,0,,,,,chill-guys
ChillTeam,0,,,,,chillteam
ChillTeam ,0,,,,,chillteam-
China Gd,0,,,,,china-gd
Chocolates and Beers,3,1,0,2,,chocolates-and-beers
Choke Gaming,0,,,,,choke-gaming6142
chosen,0,,,,,chosen1263
Chris and the boys,1,0,0,1,,chris-and-the-boys
Chrome Gaming,16,6,0,10,,ex-findictus2268
Chupacabras,0,,,,,chupacabras7886
Cipangu.GO,0,,,,,cipangu-go
Circa eSports,0,,,,,circa-esports
circo,7,3,0,4,,circo
cismix,2,1,0,1,,cismix
Citadel Gaming,0,,,,,citadel-gaming
Clan Mystik,2,0,0,2,,clan-mystik5146
Clan-Mystik,0,,,,,clan-mystik
Clansuche,0,,,,,clansuche
CLASS1,1,0,0,1,,class11040
CLEAR,0,,,,,clear
CLG Academy,2,0,0,2,,clg-academy5616
CLG Green,2,1,0,1,,clg-green
Coast,0,,,,,coast3899
Coastless,0,,,,,coastless994
Codewise Unicorns,8,0,0,8,,codewise-unicorns
Conquer Gaming,7,2,1,4,,conquer-gaming5295
Contra Omnia,0,,,,,contra-omnia
Control,6,1,0,5,,pork
cooL Gaming,0,,,,,cool-gaming
coREA,2,0,1,1,,corea4952
Corinthians Esports,2,0,0,2,,corinthians-esports
Corvidae,5,1,0,4,,corvidae
Coscu Army,0,,,,,coscu-army
Counter Logic Gaming Academy,2,1,0,1,,counter-logic-gaming-academy568
Courage,0,,,,,courage6275
Courage Gaming,0,,,,,courage-gaming6684
cowana Gaming,6,1,0,5,,cowana-gaming-1
Coyotes,0,,,,,coyotes3296
cpavky,5,3,0,2,,cpavky
CPLAY,0,,,,,cplay
CPLAY,3,1,0,2,,cplay3111
CPLAY.Tt,0,,,,,cplay-cs-go
Crack Shots,0,,,,,crack-shots9813
Crazy Killerz,1,0,0,1,,crazy-killerz
Crew e-Sports Female,0,,,,,crew-e-sports-female1011
Cringe Gods,7,5,0,2,,cringe-gods
CrowCrowd,5,1,0,4,,crowcrowd-6
Crowns ESC Female,8,2,0,6,,crowns-esc-female2335
Cruzeiro Esports,2,0,0,2,,cruzeiro-esports
Crystal Bears Female,2,0,0,2,,crystal-bears-female
CS00,0,,,,,cs008358
CSGO2x.com,0,,,,,csgo2xcom
CSGOatse,0,,,,,csgoatse
CS:GOetter,0,,,,,cs-goetter2835
CSGOEvo White,0,,,,,csgoevo-white
CSGO-Saloon,2,0,0,2,,csgo-saloon7351
CT,1,0,0,1,,ct6885
Ctrl-Z,0,,,,,ctrl-z6785
Cucumber Water,0,,,,,cucumber-water3446
cuLtivation,0,,,,,cultivation
Curse These Metal Hands,0,,,,,curse-these-metal-hands
Cursive,3,1,0,2,,cursive3391
CyberEA,1,0,0,1,,cyberea
CYBERSABLE,5,1,0,4,,cybersable
Cybersport.pl,1,0,0,1,,cybersport-pl3648
Cyborg Factory,0,,,,,cyborg-factory
Cyclone,1,0,0,1,,cyclone
CZingY,0,,,,,czingy
d00m,1,0,0,1,,d00m
D4rkS1de Female,2,0,0,2,,d4rks1de-female3046
D7G Esports Club,2,0,0,2,,d7g-esports-club
Dabers,1,0,0,1,,dabers
Dai Dai Gaming Blue,0,,,,,dai-dai-gaming-blue
DAMN-IT,0,,,,,damn-it
Dank Deaglez,4,0,0,4,,dank-deaglez9422
DaOrglessBoyz,0,,,,,daorglessboyz
Dare2Dream,0,,,,,dare2dream466
dd,5,2,0,3,,dd3314
DeadPixels,2,0,0,2,,deadpixels-csgo
Deadweight,3,0,0,3,,deadweight1970
Death.Energy,2,1,0,1,,death-energy5441
Death Trap e-Sports,0,,,,,death-trap-e-sports
DeepDarkDanger,4,1,0,3,,deepdarkdanger9826
DEEZ NUTS,3,1,0,2,,deez-nuts9376
Defining Stars,0,,,,,defining-stars6882
Defusekids,11,3,0,8,,defusekids8503
DEMGUNZ,0,,,,,demgunz9250
demise.no,0,,,,,demiseno
Demolition Crew,27,10,0,17,,demolition-crew
Demon eSports,0,,,,,demon-esports1847
DenDD,0,,,,,dendd
DenDD,3,1,0,2,,dendd2074
denied,1,0,0,1,,denied1042
Deponeret,0,,,,,deponeret
Dereguedere,0,,,,,dereguedere
Desempregados,0,,,,,desempregados
Desperados,1,0,0,1,,desperados2486
Dethrone,0,,,,,dethrone
Devcat,0,,,,,devcat
Devils Advocates,0,,,,,devils-advocates2161
devils.one,20,12,1,7,,devils-one
Devious,0,,,,,devious7199
Dexterity,0,,,,,dexterity
Dexterity Team,0,,,,,dexterity-team
DGG Esports,2,0,0,2,,dgg-esports-1
DICKHOUSE,1,0,0,1,,dickhouse7454
Dictionary,0,,,,,dictionary1568
Different but equal	,4,1,0,3,,different-but-equal-4936
Digital Chaos,0,,,,,digital-chaos-1
Digital Wave,3,1,0,2,,royal-dragons
Distinct5,0,,,,,distinct5
Distinct5,0,,,,,distinct51649
District 7,0,,,,,district-74007
Divine,0,,,,,devine1256
Divine,1,0,0,1,,divine
DIVIZON,18,9,0,9,,divizon9900
djakuyu,3,2,0,1,,djakuyu
DKSU,0,,,,,dksu1397
Dobrev,0,,,,,dobrev
Dobry&amp;Gaming,0,,,,,dobry-gaming11
Dobry&amp;Gaming,0,,,,,dobrygaming
Doge Esport,0,,,,,doge-esport
Dogmen,0,,,,,dogmen
Don't Trust Anyone,0,,,,,dont-trust-anyone
Don't_Trust_Anyone,0,,,,,donttrustanyone
DoomDayPreppers,0,,,,,doomdaypreppers7282
dope,0,,,,,dope
dopeclvb,2,1,0,1,,dopeclvb
Doral Flamingos e-Sports,0,,,,,doral-flamingos-e-sports
dotpiXels,2,0,0,2,,dotpixels-cs-go
Downstage,0,,,,,downstage
Down to Frag,0,,,,,down-to-frag
Dox-Serv,0,,,,,dox-serv
doyoueven,13,5,0,8,,doyoueven
Dracarys,4,0,0,4,,dracarys
Dragons Esports Club,1,0,0,1,,dragons-esports-club
Dream,2,0,0,2,,dream974
Dream Eaters.,0,,,,,dream-eaters1495
DREAM.RAR,4,0,0,4,,dream-rar3549
DreamSkape,0,,,,,dreamskape
Dream Team,1,0,1,0,,dream-team-1
Dregs,0,,,,,dregs
DropOuts,0,,,,,dropouts
DRUCKWELLE e.V.,0,,,,,druckwelle-ev
Druidz,0,,,,,druidz1176
dtw,0,,,,,dtw
Duffle Bag Men,1,0,0,1,,duffle-bag-men
 dumbDEAD,0,,,,,dumbdead1521
duttdutt,4,1,0,3,,duttdutt3864
Dynamo Eclot,18,7,0,11,,dynamo-eclot
Dynamo Gaming,0,,,,,dynamo-gaming
Dynasty e-Sports,1,0,0,1,,dynasty-e-sports
Eagles-Gaming,0,,,,,eagles-gaming186
Eanix,4,2,0,2,,eanix2421
Earthquake Gaming,0,,,,,earthquake-cs-go
Eastern Giants,1,0,0,1,,eastern-giants
Eastern Mysterious Power,1,0,0,1,,eastern-mysterious-power636
Eastern Vikings,0,,,,,eastern-vikings
EASY4,0,,,,,easy41979
EASYPLAY,0,,,,,easyplay
Eat You Alive,3,1,0,2,,eat-you-alive4638
eBettle,17,6,1,10,,inshock5129
eclcats,0,,,,,eclcats
 Eclipse GG,0,,,,,eclipse-gg6172
Eclipse.one,0,,,,,eclipse-one
ECO COBRAS,2,1,0,1,,eco-cobras5049
E-Corp Bumpers,0,,,,,e-corp-bumpers
EDENFUN Gaming,2,0,0,2,,edenfun-gaming
EDG,0,,,,,edg2321
E-Frag,2,0,0,2,,e-frag-cs-go
Efrag.net,7,4,0,3,,efrag-net8885
E-Frag.net,13,8,0,5,,e-frag-net1014
eFrog,0,,,,,efrog
eFuture,6,1,1,4,,efuture
eFuture Beijing,0,,,,,efuture-beijing
eFuture.dk,24,12,0,12,,efuture-dk
EGB.com,1,0,0,1,,egb-com3275
EG Black,0,,,,,evil-geniuses-cd
EG White,8,3,0,5,,eg-pa
EHOME.Female,4,2,0,2,,ehome-female1664
EHOME.Victory,0,,,,,ehomevictory
einheit,0,,,,,einheit
ELAKELAISET,0,,,,,elakelaiset5563
Electronik Generation,0,,,,,egeneration6962
Elite-Fighters,0,,,,,elite-fighters
Elite Wolves,4,0,0,4,,elite-wolves1193
eL'quvet,0,,,,,elquvet
eL'quvet,13,5,0,8,,el-quvet1631
EMA,0,,,,,ema
EMA(Teammate),0,,,,,emateammate
EMP,3,1,0,2,,emp9693
Empyreal eSports,0,,,,,empyreal-esports2663
En9my Team,1,0,0,1,,en9my-team
Energy eSports,9,0,0,9,,energy-esports
Energy Pacemaker,3,0,1,2,,energy-pacemaker137
Enervate Gaming,0,,,,,enervate-gaming
Enigma6 Group,5,2,0,3,,enigma6-group2626
ENRAGE,3,1,0,2,,enrage
EnRo Griffins,0,,,,,enro-griffins480
ENSOX,0,,,,,ensox
Entity eSports,1,1,0,0,,entity-esports5149
Entropiq Queens,6,0,0,6,,entropiq-queens
EnVision eSports.NA,0,,,,,envision-esportsna
ENY0,2,0,0,2,,eny0
Enyoy,19,4,1,14,,enyoy
EOU,0,,,,,eou710
epicblastt,0,,,,,epicblastt1943
Epicedium E-Sports,0,,,,,epicedium-e-sports1041
Epiphany Bolt,0,,,,,epiphany-bolt
EpsiIon eSports,0,,,,,epsiion-esports5224
Epsilon France,0,,,,,epsilon-france
Epsilon Hype,2,0,0,2,,epsilon-hype
Epsilon Ladies,2,0,0,2,,epsilon-ladies
ePz,0,,,,,epz
Equals,1,0,0,1,,equals
equipa,1,1,0,0,,equipa
Equipe Auvergne,0,,,,,equipe-auvergne
es,0,,,,,es
es ,0,,,,,es-
es4x,6,1,0,5,,es4x582
ESPADA Staff,11,8,1,2,,espada-staff
eSport Engine Female,5,3,0,2,,esport-engine-female9380
EsportsAdviser,0,,,,,esportsadviser
eSportsLab Black,4,2,0,2,,esportslab-black9381
eSpuma,0,,,,,espuma1448
eSuba,19,4,0,15,,esuba9839
eszkeere,1,0,0,1,,eszkeere
Etab,3,1,1,1,,etab
Eteng,0,,,,,eteng
Eternal Esports,0,,,,,eternal-esports5144
Eternal Fire Academy,9,3,0,6,,eternal-fire-academy
eternal Playerz,0,,,,,eternal-playerz
Eternity Gaming,0,,,,,eternity-gaming-cs-go
ETHEREAL NA,7,4,0,3,,ethereal
Etherian E-Sports,1,0,0,1,,etherian-e-sports
EU4IA,2,1,0,1,,eu4ia9435
EU4IA,0,,,,,eu4ia
Europe All-Stars,1,0,0,1,,europe-all-stars1962
European Misfits,0,,,,,european-misfits
eveRize,0,,,,,everize
EveryBodyDance,4,2,0,2,,everybodydance
EVG-Serv,0,,,,,evg-serv
Evidence e-Sports,0,,,,,evidence-e-sports
Evilvice Black,0,,,,,evilvice-black4155
EvK,0,,,,,evk
Evokate,3,1,1,1,,evokate9958
Evolution.Dark,0,,,,,evolutiondark
Evolution.Light,0,,,,,evolutionlight
EVOPLAY,0,,,,,evoplay
eXanimo,0,,,,,exanimo
ex-Astral Authority,1,0,0,1,,ex-astral-authority7736
ex-Athletico Esports,0,,,,,ex-athletico-esports
ex-Atmosphere Esports,3,1,0,2,,ex-atmosphere-esports
ex-BEASTS,0,,,,,ex-beasts
ex-beGenius,0,,,,,ex-begenius
ex-beGenius ESC,0,,,,,ex-begenius-esc
exBOTables,1,0,0,1,,exbotables8650
ex-CLG,0,,,,,ex-clg
ex-Conquest,0,,,,,ex-conquest
ex-Cyber Legacy,0,,,,,ex-cyber-legacy
ex-Dark Passage,4,0,0,4,,ex-dark-passage1580
ex-Death Trap,1,0,0,1,,ex-death-trap2678
ex-DIVIZON,4,1,0,3,,ex-divizon
ex-DreamEaters,0,,,,,ex-dreameaters
exDT,0,,,,,exdt
Execration,0,,,,,execration
EXECUTIONERS,0,,,,,executioners-1
ex-eLevate,0,,,,,elevate
ex-En9my Team,0,,,,,ex-en9my-team
Exertus,0,,,,,exertus6794
Exertus eSports,0,,,,,exertus-esports
eXeS,0,,,,,exes6031
eXeS-eSport,0,,,,,exes-esport
ex-EURONICS Gaming,2,2,0,0,,ex-euronics-gaming
ex-Findictus,0,,,,,ex-findictus
ex-Fraternitas,0,,,,,ex-fraternitas
Exgaming,0,,,,,exgaming4451
ex-GearWheel,0,,,,,ex-gearwheel2218
ex-iBUYPOWER,0,,,,,ex-ibuypower
eXire-eSports,0,,,,,exire-esports
ex-Luminosity,2,0,0,2,,ex-luminosity
ex-MAD Lions,3,3,0,0,,ex-mad-lions
ex-Marlian eSports,4,0,0,4,,ex-marlian-esports
ex-Masked Esports,0,,,,,ex-masked-esports
ex-melty Ladies,1,0,0,1,,ex-melty-ladies
ex-Morior Invictus,0,,,,,ex-morior-invictus
ex-Naventic,0,,,,,ex-naventic
ex-Nitrious Gaming,0,,,,,ex-nitrious-gaming
ex-North,0,,,,,ex-north
ex-Orbit,0,,,,,ex-orbit8429
EXOTIC Female,3,1,0,2,,exotic-female6913
Exotic Island,0,,,,,exotic-island3648
ex-Outlaws,8,4,0,4,,ex-outlaws7777
ex-paiN Gaming,3,2,0,1,,ex-pain-gaming8257
Expendables,0,,,,,expendables6239
Expert,5,0,0,5,,expert6625
eXplayerZ,0,,,,,explayerz
EXPLODERS,0,,,,,exploders6961
eXploit Esports,3,0,0,3,,exploit-esports
Express,1,0,0,1,,express
